Address,Total Staked SYNR,Average Staked SYNR,SYNR Passes As SYNR Equivalent,Free Farms,Guaranteed Whitelists Turf,Guaranteed Whitelist Farms,Entry to Raffle for Guaranteed Whitelist Farm
0x32B89dEa9Dfbcf19760CbeA6eB52261C6c2642EC,131329,131329,0,0,0,1,0
0xDc4A381246357db903B6c53D1a9A9dd4fE878271,129398,129398,0,0,0,1,0
0x834956B6be4991bBc8b36e5b4a9Fd5e17c8A0352,128720,128720,0,0,0,1,0
0x4757DE3285c5C39Ef9D26744a659E5C6935C0c55,127892,127892,0,0,0,1,0
0xf573167C4208988165b0426573393C9D1295D485,126923,126923,0,0,0,1,0
0xea16Ab591cF88b800A32f3066BB5de4A6dDbF579,126177,126177,0,0,0,1,0
0xaD8c10e96A73ba284dc034138C29CE018f43D451,126174,126174,0,0,0,1,0
0xd6134e0c5A4f40233b2327E9E54a9a41C78F16A6,125836,125836,0,0,0,1,0
0xD84aE95Edafccc6374AACF41C60b181680629Fc5,125181,125181,0,0,0,1,0
0x73dEAEB8aA241b6fcdB992060Ae43193CcCBf638,125000,125000,0,0,0,1,0
0x43eEfeDC814829e495847e953013E59FB35622B1,123989,123989,0,0,0,1,0
0x148AFbce5CE5417e966E92D2c04Bd81D8cB0e04e,123517,123517,0,0,0,1,0
0x3d9E0EeAdEba68495D6d8974Fb81AabD726149EB,123230,123230,0,0,0,1,0
0x028158dBE6984548FADB6185C4A4ad3F706f58c8,122123,122123,0,0,0,1,0
0x81549B07Ae76cD1f0F79193486E63e23A35Ec51c,122099,122099,0,0,0,1,0
0x5ae0BB3a195EF65382FD0f39165FD5CeD70ADc51,120491,120491,0,0,0,1,0
0xa0a4779d81B07e9003051ABb6DeF66D90dF1DD60,120302,120302,0,0,0,1,0
0xe2F57dECc5197aEAd4B460401E822C4950DE1EfA,120000,120000,0,0,0,1,0
0xB8e09a9963E82dcF2A338A1149316d9021ea9E10,115100,115100,0,0,0,1,0
0x49E6E064101034e0E67f43f80F52Fee8c3a1d761,115000,115000,0,0,0,1,0
0x21b43179E68cD635Cf5fb19538B97C5648dBf685,113573,113573,0,0,0,1,0
0x32ae1296991bb85183AC7fCB3001E6A3Ac125937,112464,112464,0,0,0,1,0
0xA14D96C7F55386E6d1FE544A728FA170E4bA986a,112363,112363,0,0,0,1,0
0x35c87D026031C5ac42924dd807Aaa6Cb80D84A33,112114,112114,0,0,0,1,0
0x694EE79D003cc2600F1e0682A91Ab6CBCa21dF99,111111,111111,0,0,0,1,0
0xB6B221851807c21ef8278736885960a99ab768a9,110379,110379,0,0,0,1,0
0x88573B505E2c588C7C14c66DdA0264650FD774Ce,110094,110094,0,0,0,1,0
0xc17A878D9c03B8191275F85fd8f4dfb76137D807,110077,110077,0,0,0,1,0
0xD74D6B7Ca81Bec4666415C37020607D3eCDF7E0D,109613,109613,0,0,0,1,0
0xd80eaC8E5871C96FB242cC5bC3D8c4EB73459dE0,108950,108950,0,0,0,1,0
0xCF0127C1210f3FBD3c9EEEc3d8f3FD9DbcAB9040,108911,108911,0,0,0,1,0
0x52a7bE742Fefd89a057460AbAB2777d548447883,108793,108793,0,0,0,1,0
0x337ab2c4e48b8b65Da792c22665282184f9E5AA8,107874,107874,0,0,0,1,0
0xF9A79B4D7634989680E2bF3Eb92FEb46E73fc507,107221,107221,0,0,0,1,0
0xbBFC75D703e19a1222F80Eb943a56752b5cf38bf,106945,106945,0,0,0,1,0
